Word,Count
worse,31
racist,31
attacks,31
issue,33
defective,32
weak,42
infuriate,41
Coronavirus,40
lost,39
unlikely,38
derogatory,37
confused,36
debt,37
fallen,36
prick,36
traitor,36
evil,38
poison,38
crisis,38
uncertain,39
refusing,39
hectic,40
loses,40
recession,40
